SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1129	272	272
2237	369	369
3344	369	369
4451	369	369
5558	369	369
6666	369	369
7773	369	369
8880	369	369
9988	369	369
11095	369	369
12202	369	369
13310	369	369
14417	369	369
15524	369	369
16632	369	369
17739	369	369
18846	369	369
19954	369	369
21061	369	369
22168	369	369
23276	369	369
24383	369	369
25490	369	369
26598	369	369
27705	369	369
28812	369	369
29920	369	369
31027	369	369
32134	369	369
33242	369	369
34349	369	369
35456	369	369
36564	369	369
37671	369	369
38778	369	369
39886	369	369
40993	369	369
42100	369	369
43207	369	369
44315	369	369
45422	369	369
46529	369	369
47637	369	369
48744	369	369
49851	369	369
50959	369	369
52066	369	369
53173	369	369
54281	369	369
55388	369	369
56495	369	369
57603	369	369
58710	369	369
59817	369	369
60925	369	369
62032	369	369
63139	369	369
64247	369	369
65354	369	369
66461	369	369
67569	369	369
68676	369	369
69783	369	369
70891	369	369
71998	369	369
73105	369	369
74213	369	369
75320	369	369
76427	369	369
77535	369	369
78642	369	369
79749	369	369
80857	369	369
81964	369	369
83071	369	369
84178	369	369
85286	369	369
86393	369	369
87500	369	369
88608	369	369
89715	369	369
90822	369	369
91930	369	369
93037	369	369
94144	369	369
95252	369	369
96359	369	369
97466	369	369
98574	369	369
99681	369	369
100788	369	369
101896	369	369
103003	369	369
104110	369	369
105218	369	369
106325	369	369
107432	369	369
108540	369	369
109647	369	369
110754	369	369
111862	369	369
112969	369	369
114076	369	369
115184	369	369
116291	369	369
117398	369	369
118506	369	369
119613	369	369
120720	369	369
121828	369	369
122935	369	369
124042	369	369
125149	369	369
126257	369	369
127364	369	369
128471	369	369
129579	369	369
130686	369	369
131793	369	369
132901	369	369
134008	369	369
135115	369	369
136223	369	369
137330	369	369
138437	369	369
139545	369	369
140652	369	369
141759	369	369
142867	369	369
143974	369	369
145081	369	369
146189	369	369
147296	369	369
148403	369	369
149511	369	369
150618	369	369
151725	369	369
152833	369	369
153940	369	369
155047	369	369
156155	369	369
157262	369	369
158369	369	369
159477	369	369
160584	369	369
161691	369	369
162798	369	369
163906	369	369
165013	369	369
166120	369	369
167228	369	369
168335	369	369
169442	369	369
170550	369	369
171657	369	369
172764	369	369
173872	369	369
174979	369	369
176086	369	369
177194	369	369
178301	369	369
179408	369	369
180516	369	369
181623	369	369
182730	369	369
183838	369	369
184945	369	369
186052	369	369
187160	369	369
188267	369	369
189374	369	369
190482	369	369
191589	369	369
192696	369	369
193804	369	369
194911	369	369
196018	369	369
197126	369	369
198233	369	369
199340	369	369
200448	369	369
201555	369	369
202662	369	369
203769	369	369
204877	369	369
205984	369	369
207091	369	369
208199	369	369
209306	369	369
210413	369	369
211521	369	369
212628	369	369
213735	369	369
214843	369	369
215950	369	369
217057	369	369
218165	369	369
219272	369	369
220379	369	369
221487	369	369
222594	369	369
223701	369	369
224809	369	369
225916	369	369
227023	369	369
228131	369	369
229238	369	369
230345	369	369
231453	369	369
232560	369	369
233667	369	369
234775	369	369
235882	369	369
236989	369	369
238097	369	369
239204	369	369
240311	369	369
241418	369	369
242526	369	369
243633	369	369
244740	369	369
245848	369	369
246955	369	369
248062	369	369
249170	369	369
250277	369	369
251384	369	369
252492	369	369
253599	369	369
254706	369	369
255814	369	369
256921	369	369
258028	369	369
259136	369	369
260243	369	369
261350	369	369
262458	369	369
263565	369	369
264672	369	369
265780	369	369
266887	369	369
267994	369	369
269102	369	369
270209	369	369
271316	369	369
272424	369	369
273531	369	369
274638	369	369
275746	369	369
276853	369	369
277960	369	369
279068	369	369
280175	369	369
281282	369	369
282389	369	369
283525	373	373
284713	400	400
285900	389	389
287160	422	422
288374	408	408
289508	378	378
290665	385	385
291828	386	386
292936	370	370
294044	369	369
295231	387	387
296339	377	377
297446	369	369
298553	369	369
299661	369	369
300837	380	380
301960	385	385
303179	395	395
304424	417	417
305625	403	403
306948	429	429
308083	391	391
309346	425	425
310557	403	403
311816	413	413
313061	419	419
314239	382	382
315446	409	409
316651	396	396
317861	412	412
318983	371	371
320222	412	412
321399	395	395
322571	379	379
323714	391	391
324985	413	413
326125	385	385
327346	412	412
328521	391	391
329867	434	434
331054	401	401
332161	378	378
333279	372	372
334394	370	370
335560	389	389
336747	395	395
337928	393	393
339177	409	409
340357	395	395
341534	397	397
342793	419	419
343952	386	386
345187	405	405
346316	379	379
347603	430	430
348810	404	404
349940	376	376
351069	373	373
352350	429	429
353535	395	395
354700	378	378
355883	400	400
357099	400	400
358382	425	425
359565	405	405
360808	400	400
362078	437	437
363375	425	425
364525	385	385
365713	397	397
366898	395	395
368071	389	389
369360	434	434
370623	407	407
371792	400	400
373156	441	441
374400	420	420
375550	393	393
376783	405	405
377983	405	405
379281	419	419
380531	429	429
381758	409	409
383002	407	407
384215	411	411
385545	431	431
386780	414	414
387933	389	389
389137	398	398
390395	421	421
391699	431	431
392950	411	411
394151	413	413
395523	439	439
396641	391	391
397901	410	410
399184	435	435
400447	417	417
401702	424	424
402953	407	407
404210	429	429
405554	432	432
406760	417	417
408029	406	406
409151	390	390
410388	400	400
411645	414	414
412861	407	407
414092	413	413
415372	425	425
416504	389	389
417819	435	435
419001	394	394
420192	396	396
421383	384	384
422526	392	392
423723	401	401
425010	411	411
426239	427	427
427515	413	413
428707	408	408
429889	391	391
431111	408	408
432283	391	391
433473	382	382
434626	398	398
435799	391	391
436957	385	385
438115	386	386
439346	400	400
440620	431	431
441764	383	383
443053	422	422
444364	432	432
445635	436	436
446888	408	408
448143	412	412
449264	389	389
450473	402	402
451852	430	430
453012	415	415
454254	414	414
455464	399	399
456663	396	396
457954	423	423
459136	399	399
460341	408	408
461556	403	403
462754	400	400
464019	412	412
465276	410	410
466455	406	406
467627	395	395
468894	409	409
470077	406	406
471391	419	419
472736	449	449
473998	433	433
475206	407	407
476439	401	401
477687	420	420
478927	417	417
480170	414	414
481392	398	398
482617	412	412
483961	444	444
485178	405	405
486483	424	424
487723	430	430
488946	399	399
490183	415	415
491395	409	409
492669	400	400
493905	436	436
495145	406	406
496350	402	402
497684	424	424
498899	429	429
500214	417	417
501403	419	419
502698	431	431
504054	432	432
505210	404	404
506497	418	418
507733	422	422
509121	452	452
510284	389	389
511391	377	377
512710	420	420
514004	442	442
515330	449	449
516542	402	402
517821	424	424
519079	410	410
520332	422	422
521654	447	447
523046	439	439
524220	415	415
525627	443	443
526918	452	452
528277	431	431
529511	424	424
530809	430	430
532071	430	430
533381	419	419
534596	423	423
535757	381	381
537043	419	419
538286	423	423
539540	417	417
540844	425	425
542024	405	405
543254	406	406
544602	438	438
545865	426	426
547132	422	422
548431	442	442
549664	408	408
551020	431	431
552213	421	421
553482	415	415
554693	407	407
555916	411	411
557147	404	404
558368	411	411
559754	429	429
560958	435	435
562289	425	425
563396	386	386
564671	418	418
565936	423	423
567222	424	424
568440	415	415
569651	393	393
570957	442	442
572242	421	421
573491	418	418
574826	444	444
575998	391	391
577211	412	412
578410	399	399
579669	411	411
580851	402	402
582164	425	425
583420	420	420
584634	410	410
585861	403	403
587085	409	409
588329	409	409
589481	398	398
590687	401	401
591967	416	416
593306	436	436
594478	411	411
595808	418	418
596981	406	406
598277	426	426
599474	412	412
600691	401	401
602074	457	457
603324	419	419
604357	478	478
605594	444	444
